,mean,cvar,min,max,Q_0,mean_test,max_test,cvar_test
0,-0.4305075276997824,0.0037509978818081515,-3.780008695501445,0.006390856215634871,[2.1985506e-05],-0.4312416615729881,0.006944292758343616,0.0038419134190473634
1,-0.4307144751305002,-0.0001971731227133836,-3.7631149442194,0.0006859913842271768,[0.09372654],-0.431490971361826,0.0008784053955982057,-0.00014874657803299593
2,-0.4309818933792218,-0.00098040926001056,-3.7410651398215324,0.0014584727246826227,[0.10382953],-0.4318430258896473,0.0014236894458476007,-0.0010192665631078876
3,-0.4312147538144269,-0.0016112217820605198,-3.721905320133014,0.002224351676044274,[0.11151144],-0.43211871690152015,0.0021640726521861353,-0.001655921086145527
4,-0.4315679444408859,-0.0026359249353890015,-3.6926110189297576,0.002837200197264465,[0.17289549],-0.43252074236638555,0.002770452075146395,-0.002644833930906018
5,-0.4322816656563532,-0.004514450486536007,-3.6339505811452355,0.0045381918968226565,[0.15426922],-0.43334578083058417,0.004499003933915403,-0.0044866180070639704
6,-0.4328295647414685,-0.005889691589805363,-3.588882833321895,0.00607075595531744,[0.14290059],-0.4339845287004206,0.006011294727389907,-0.0058245200240153025
7,-0.43348772491781606,-0.007455307461172637,-3.5347262973355495,0.007918815210438707,[0.11910844],-0.4347520577560699,0.007837888817009347,-0.007280713554488152
8,-0.4343127374732914,-0.009351162536391743,-3.466776865978668,0.010274598815035616,[0.09762621],-0.4357152579099118,0.010168638777715552,-0.009015573618321341
9,-0.4350588680162557,-0.011044743856326951,-3.4052238807033475,0.01231674757628547,[0.10113204],-0.4365844817332776,0.012197799091206947,-0.01055540152837855
10,-0.4358126683992695,-0.012731174617701162,-3.342929898811203,0.01422151904470523,[0.10158277],-0.4374598685288082,0.014109969826891163,-0.012089628159879327
11,-0.4363912019673896,-0.0140378648562329,-3.294866377249946,0.015197683195366614,[0.08840764],-0.4381208017986728,0.01515482228789343,-0.013273903057450681
12,-0.437103943326213,-0.015459825685743273,-3.235830027575732,0.016990627018765338,[0.09694111],-0.4389497415358364,0.01695179346226436,-0.014663820475104799
13,-0.4379688807698297,-0.017073612536001818,-3.1641316333185587,0.01912082335334821,[0.10987353],-0.43995421952338454,0.01909464330302975,-0.016274313365163072
14,-0.4386741145798531,-0.01840734489787873,-3.105390339650575,0.020313764209797056,[0.10999513],-0.4407598357305091,0.020356547529678755,-0.01757395552941851
15,-0.43905889560375916,-0.01921076571633672,-3.073012048594573,0.020524879144534037,[0.09170723],-0.4411925129024046,0.020631829090924016,-0.01829954309179375
16,-0.43963081428128364,-0.02022029232243723,-3.025302168284309,0.0217313397611102,[0.09969389],-0.44185379605827485,0.021900519966228424,-0.01925293586851434
17,-0.43994809279466396,-0.020901335934663118,-2.9983434275148513,0.021538530208823146,[0.11441791],-0.4422030561445156,0.02179597399454658,-0.01987056570379663
18,-0.44042896323107283,-0.021847090150542293,-2.95784421339228,0.02172558493274725,[0.09312081],-0.442742799543783,0.022077862952827335,-0.020711206463786345
19,-0.4406574888765306,-0.022379144591510917,-2.9381314910738516,0.021296925474226958,[0.09282458],-0.44299036479530474,0.02175253224333576,-0.021162464228148655
20,-0.4410327349858159,-0.023096642355870015,-2.906275917925104,0.021405528996249024,[0.08514035],-0.44341268332140227,0.02194940403540814,-0.021811772729696012
21,-0.44111696863652095,-0.02345088183498637,-2.8980602249487735,0.020154268032715323,[0.05919969],-0.44348721832324484,0.020849345633344174,-0.022127117220775223
22,-0.4415046280175269,-0.024163641544249454,-2.8653560202247634,0.02029570476924865,[0.07521486],-0.4439194017260728,0.021106120133443276,-0.022765745062198396
